RoboCar Sensor Log
Started at: 2025-05-13T14:56:11.948097
================================================================================
[2025-05-13T14:56:12.448264] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.12 | VIB: YES | ALC: 0.18
[2025-05-13T14:56:17.948332] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.02 | VIB: NO | ALC: 0.08
[2025-05-13T14:56:18.448279] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.40m | MAG: -0.04 | VIB: NO | ALC: 0.18
[2025-05-13T14:56:18.948250] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.03 | VIB: YES | ALC: 0.04
[2025-05-13T14:56:19.448287] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.48m | MAG: 0.00 | VIB: NO | ALC: 0.20
[2025-05-13T14:56:19.948248] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.50m | MAG: 0.09 | VIB: NO | ALC: 0.12
[2025-05-13T14:56:20.448281] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: -0.17 | VIB: NO | ALC: 0.09
[2025-05-13T14:56:20.948289] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: -0.10 | VIB: NO | ALC: 0.05
[2025-05-13T14:56:21.448294] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.01 | VIB: NO | ALC: 0.17
[2025-05-13T14:56:21.948330] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.17 | VIB: NO | ALC: 0.01
[2025-05-13T14:56:22.448408] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: 0.15 | VIB: NO | ALC: 0.03
[2025-05-13T14:56:22.948312] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.12 | VIB: NO | ALC: 0.14
[2025-05-13T14:56:23.448317] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.04 | VIB: NO | ALC: 0.18
[2025-05-13T14:56:23.948277] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.19 | VIB: NO | ALC: 0.12
[2025-05-13T14:56:24.448290] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.43m | MAG: 0.01 | VIB: NO | ALC: 0.02
[2025-05-13T14:56:24.948237] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.17 | VIB: NO | ALC: 0.02
[2025-05-13T14:56:25.448373] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.44m | MAG: -0.18 | VIB: NO | ALC: 0.14
[2025-05-13T14:56:25.948332] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.15 | VIB: NO | ALC: 0.18
[2025-05-13T14:56:26.448381] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.07 | VIB: YES | ALC: 0.01
[2025-05-13T14:56:26.948368] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: 0.06 | VIB: NO | ALC: 0.09
[2025-05-13T14:56:27.448359] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.21m | MAG: -0.20 | VIB: NO | ALC: 0.19
[2025-05-13T14:56:27.948294] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.47m | MAG: 0.07 | VIB: NO | ALC: 0.12
[2025-05-13T14:56:28.448429] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.10 | VIB: NO | ALC: 0.12
[2025-05-13T14:56:28.948598] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.16 | VIB: NO | ALC: 0.00
[2025-05-13T14:56:29.448310] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.14 | VIB: NO | ALC: 0.12
[2025-05-13T14:56:29.948334] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: -0.07 | VIB: NO | ALC: 0.17
[2025-05-13T14:56:30.448282] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: -0.03 | VIB: NO | ALC: 0.12
[2025-05-13T14:56:30.948310] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: -0.15 | VIB: NO | ALC: 0.08
[2025-05-13T14:56:31.448357] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.00 | VIB: NO | ALC: 0.04
[2025-05-13T14:56:31.948400] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.17 | VIB: NO | ALC: 0.02
[2025-05-13T14:56:32.448392] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.19 | VIB: NO | ALC: 0.06
[2025-05-13T14:56:32.948410] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.27m | MAG: -0.00 | VIB: NO | ALC: 0.17
[2025-05-13T14:56:33.448322] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.15 | VIB: NO | ALC: 0.19
[2025-05-13T14:56:33.948347] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.15 | VIB: NO | ALC: 0.08
[2025-05-13T14:56:34.448303] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: -0.03 | VIB: NO | ALC: 0.05
[2025-05-13T14:56:34.948346] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.40m | MAG: -0.10 | VIB: NO | ALC: 0.06
[2025-05-13T14:56:35.448336] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: -0.00 | VIB: NO | ALC: 0.19
[2025-05-13T14:56:35.948311] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.37m | MAG: 0.17 | VIB: NO | ALC: 0.15
[2025-05-13T14:56:36.448319] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: 0.05 | VIB: NO | ALC: 0.01
[2025-05-13T14:56:36.948533] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: -0.03 | VIB: NO | ALC: 0.04
[2025-05-13T14:56:37.448296] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.05 | VIB: YES | ALC: 0.17
[2025-05-13T14:56:37.948261] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.18 | VIB: NO | ALC: 0.07
[2025-05-13T14:56:38.448349] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.08 | VIB: YES | ALC: 0.07
[2025-05-13T14:56:38.948276] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: -0.12 | VIB: NO | ALC: 0.15
[2025-05-13T14:56:39.448313] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.34m | MAG: -0.09 | VIB: NO | ALC: 0.10
[2025-05-13T14:56:39.948303] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.06 | VIB: NO | ALC: 0.10
[2025-05-13T14:56:40.448310] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.05 | VIB: NO | ALC: 0.01
[2025-05-13T14:56:40.948264] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: 0.10 | VIB: NO | ALC: 0.06
[2025-05-13T14:56:41.448352] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: 0.03 | VIB: NO | ALC: 0.03
[2025-05-13T14:56:41.948303] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.10 | VIB: NO | ALC: 0.08
[2025-05-13T14:56:42.448307] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.05 | VIB: NO | ALC: 0.10
[2025-05-13T14:56:42.948336] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.04 | VIB: NO | ALC: 0.01
[2025-05-13T14:56:43.448294] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.10 | VIB: NO | ALC: 0.14
[2025-05-13T14:56:43.948324] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.30m | MAG: 0.00 | VIB: NO | ALC: 0.15
[2025-05-13T14:56:44.448323] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.15 | VIB: NO | ALC: 0.02
[2025-05-13T14:56:44.948259] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.03 | VIB: NO | ALC: 0.10
[2025-05-13T14:56:45.448433] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.34m | MAG: -0.16 | VIB: NO | ALC: 0.14
[2025-05-13T14:56:45.948266] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.04 | VIB: YES | ALC: 0.00
[2025-05-13T14:56:46.448279] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.02 | VIB: NO | ALC: 0.19
[2025-05-13T14:56:46.948321] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.33m | MAG: -0.02 | VIB: NO | ALC: 0.13
[2025-05-13T14:56:47.448254] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.08 | VIB: NO | ALC: 0.15
[2025-05-13T14:56:47.948260] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.15 | VIB: NO | ALC: 0.04
[2025-05-13T14:56:48.448267] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: 0.03 | VIB: NO | ALC: 0.17
[2025-05-13T14:56:48.948257] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.21m | MAG: -0.02 | VIB: NO | ALC: 0.18
[2025-05-13T14:56:49.448280] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.18 | VIB: NO | ALC: 0.01
[2025-05-13T14:56:49.948262] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.33m | MAG: 0.18 | VIB: YES | ALC: 0.18
[2025-05-13T14:56:50.448256] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.18 | VIB: NO | ALC: 0.01
[2025-05-13T14:56:50.948316] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.10 | VIB: NO | ALC: 0.10
[2025-05-13T14:56:51.448348] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: -0.03 | VIB: YES | ALC: 0.05
[2025-05-13T14:56:51.948301] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: 0.12 | VIB: NO | ALC: 0.19
[2025-05-13T14:56:52.448336] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.33m | MAG: -0.12 | VIB: NO | ALC: 0.07
[2025-05-13T14:56:52.948347] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: -0.11 | VIB: NO | ALC: 0.05
[2025-05-13T14:56:53.448300] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.20 | VIB: NO | ALC: 0.06
[2025-05-13T14:56:53.948344] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.35m | MAG: -0.19 | VIB: YES | ALC: 0.09
[2025-05-13T14:56:54.448295] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.19 | VIB: NO | ALC: 0.01
[2025-05-13T14:56:54.948347] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.09 | VIB: NO | ALC: 0.03
[2025-05-13T14:56:55.448295] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.09 | VIB: NO | ALC: 0.07
[2025-05-13T14:56:55.948269] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.14 | VIB: NO | ALC: 0.19
[2025-05-13T14:56:56.448285] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.21m | MAG: 0.15 | VIB: NO | ALC: 0.07
[2025-05-13T14:56:56.948257] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: 0.01 | VIB: YES | ALC: 0.00
[2025-05-13T14:56:57.448267] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.17 | VIB: NO | ALC: 0.11
[2025-05-13T14:56:57.948297] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.12 | VIB: NO | ALC: 0.17
[2025-05-13T14:56:58.448257] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.17 | VIB: NO | ALC: 0.01
[2025-05-13T14:56:58.948224] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.14 | VIB: NO | ALC: 0.19
[2025-05-13T14:56:59.448406] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.12 | VIB: NO | ALC: 0.02
[2025-05-13T14:56:59.948271] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: 0.11 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:00.448411] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: -0.10 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:00.948316] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.16 | VIB: NO | ALC: 0.14
[2025-05-13T14:57:01.448414] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: -0.06 | VIB: NO | ALC: 0.02
[2025-05-13T14:57:01.948283] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.07 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:02.448389] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.41m | MAG: -0.04 | VIB: NO | ALC: 0.04
[2025-05-13T14:57:02.948264] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: -0.01 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:03.448388] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: -0.14 | VIB: YES | ALC: 0.05
[2025-05-13T14:57:03.948262] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.17 | VIB: NO | ALC: 0.01
[2025-05-13T14:57:04.448270] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.08 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:04.948228] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.02 | VIB: NO | ALC: 0.20
[2025-05-13T14:57:05.448262] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.01 | VIB: NO | ALC: 0.08
[2025-05-13T14:57:05.948354] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.17 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:06.448365] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.26m | MAG: -0.16 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:06.948253] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.09 | VIB: YES | ALC: 0.17
[2025-05-13T14:57:07.448369] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.14 | VIB: NO | ALC: 0.02
[2025-05-13T14:57:07.948333] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.35m | MAG: -0.14 | VIB: NO | ALC: 0.15
[2025-05-13T14:57:08.448323] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.16 | VIB: NO | ALC: 0.11
[2025-05-13T14:57:08.948313] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: 0.20 | VIB: NO | ALC: 0.10
[2025-05-13T14:57:09.448243] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.09 | VIB: NO | ALC: 0.09
[2025-05-13T14:57:09.948241] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.05 | VIB: YES | ALC: 0.14
[2025-05-13T14:57:10.448403] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.38m | MAG: 0.02 | VIB: NO | ALC: 0.04
[2025-05-13T14:57:10.948310] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.48m | MAG: -0.03 | VIB: YES | ALC: 0.08
[2025-05-13T14:57:11.448221] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.11 | VIB: NO | ALC: 0.19
[2025-05-13T14:57:11.948311] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.05 | VIB: NO | ALC: 0.06
[2025-05-13T14:57:12.448280] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.30m | MAG: -0.04 | VIB: NO | ALC: 0.09
[2025-05-13T14:57:12.948310] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.95m | MAG: -0.01 | VIB: NO | ALC: 0.06
[2025-05-13T14:57:13.448249] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: 0.18 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:13.948270] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: 0.03 | VIB: NO | ALC: 0.16
[2025-05-13T14:57:14.448360] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.10 | VIB: NO | ALC: 0.10
[2025-05-13T14:57:14.948353] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: -0.05 | VIB: NO | ALC: 0.11
[2025-05-13T14:57:15.448348] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: -0.12 | VIB: NO | ALC: 0.15
[2025-05-13T14:57:15.948314] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.14 | VIB: NO | ALC: 0.08
[2025-05-13T14:57:16.448271] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.30m | MAG: -0.08 | VIB: NO | ALC: 0.00
[2025-05-13T14:57:16.948319] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.05 | VIB: NO | ALC: 0.04
[2025-05-13T14:57:17.448280] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.22m | MAG: 0.05 | VIB: YES | ALC: 0.09
[2025-05-13T14:57:17.948319] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.07 | VIB: NO | ALC: 0.16
[2025-05-13T14:57:18.448305] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: 0.15 | VIB: NO | ALC: 0.01
[2025-05-13T14:57:18.948335] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.22m | MAG: 0.01 | VIB: NO | ALC: 0.20
[2025-05-13T14:57:19.448337] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: -0.04 | VIB: NO | ALC: 0.20
[2025-05-13T14:57:19.948304] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.13 | VIB: NO | ALC: 0.06
[2025-05-13T14:57:20.448304] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.21m | MAG: -0.03 | VIB: NO | ALC: 0.06
[2025-05-13T14:57:20.948256] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.50m | MAG: 0.14 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:21.448269] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.17 | VIB: NO | ALC: 0.07
[2025-05-13T14:57:21.948282] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.16 | VIB: NO | ALC: 0.01
[2025-05-13T14:57:22.448259] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.06 | VIB: NO | ALC: 0.10
[2025-05-13T14:57:22.948269] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.07 | VIB: NO | ALC: 0.11
[2025-05-13T14:57:23.448231] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.09 | VIB: NO | ALC: 0.04
[2025-05-13T14:57:23.948377] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.27m | MAG: 0.08 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:24.448280] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: -0.02 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:24.948243] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: -0.12 | VIB: YES | ALC: 0.10
[2025-05-13T14:57:25.448236] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.39m | MAG: 0.13 | VIB: NO | ALC: 0.09
[2025-05-13T14:57:25.948258] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.95m | MAG: 0.16 | VIB: NO | ALC: 0.14
[2025-05-13T14:57:26.448262] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: -0.15 | VIB: NO | ALC: 0.06
[2025-05-13T14:57:26.948319] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: 0.11 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:27.448296] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: -0.06 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:27.948269] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.17 | VIB: NO | ALC: 0.12
[2025-05-13T14:57:28.448299] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.45m | MAG: -0.18 | VIB: NO | ALC: 0.10
